x_value,total_1,total_2
0,1000,1000
1,984,990
2,997,994
3,997,994
4,1003,991
5,1029,998
6,1043,993
7,1040,983
8,1069,979
9,1061,982
10,1086,976
11,1116,969
12,1118,965
13,1119,962
14,1102,958
15,1099,969
16,1119,980
17,1109,974
18,1089,976
19,1101,969
20,1129,973
21,1118,982
22,1141,997
23,1126,998
24,1139,1009
25,1131,1007
26,1145,1022
27,1145,1019
28,1145,1013
29,1162,1010
30,1190,1024
31,1182,1020
32,1163,1033
33,1143,1039
34,1136,1039
35,1142,1040
36,1171,1036
37,1191,1032
38,1191,1032
39,1209,1026
40,1197,1022
41,1178,1036
42,1189,1048
43,1187,1063
44,1168,1059
45,1157,1055
46,1180,1056
47,1164,1047
48,1166,1053
49,1157,1064
50,1155,1075
51,1135,1084
52,1142,1095
53,1139,1094
54,1152,1086
55,1181,1092
56,1196,1083
57,1178,1083
58,1184,1074
59,1174,1078
60,1201,1069
